	x (m)	y (m)	Mesure ch1 (V)	Mesure ch2 (V)
0	-2.0000e-02	-2.0000e-02	 4.3191e+00	 5.9236e+00
1	-1.9800e-02	-2.0000e-02	 4.2498e+00	 6.3523e+00
2	-1.9600e-02	-2.0000e-02	 4.3681e+00	 5.2800e+00
3	-1.9400e-02	-2.0000e-02	 4.2866e+00	 6.3089e+00
4	-1.9200e-02	-2.0000e-02	 4.2577e+00	 4.7718e+00
5	-1.9000e-02	-2.0000e-02	 4.2186e+00	 3.0704e+00
6	-1.8800e-02	-2.0000e-02	 4.3711e+00	 6.7014e+00
7	-1.8600e-02	-2.0000e-02	 4.4178e+00	 4.1475e+00
8	-1.8400e-02	-2.0000e-02	 4.2974e+00	 5.6642e+00
9	-1.8200e-02	-2.0000e-02	 4.2803e+00	 4.6870e+00
10	-1.8000e-02	-2.0000e-02	 4.2550e+00	 4.8822e+00
11	-1.7800e-02	-2.0000e-02	 4.2899e+00	 3.6676e+00
12	-1.7600e-02	-2.0000e-02	 4.2889e+00	 4.7218e+00
13	-1.7400e-02	-2.0000e-02	 4.2961e+00	 4.6692e+00
14	-1.7200e-02	-2.0000e-02	 4.2771e+00	 3.4076e+00
15	-1.7000e-02	-2.0000e-02	 4.4204e+00	 2.6785e+00
16	-1.6800e-02	-2.0000e-02	 4.3642e+00	 4.3965e+00
17	-1.6600e-02	-2.0000e-02	 4.2393e+00	 3.4500e+00
18	-1.6400e-02	-2.0000e-02	 4.4224e+00	 3.9227e+00
19	-1.6200e-02	-2.0000e-02	 4.1683e+00	 4.0146e+00
20	-1.6000e-02	-2.0000e-02	 4.3001e+00	 2.8610e+00
21	-1.5800e-02	-2.0000e-02	 4.2836e+00	 4.4498e+00
22	-1.5600e-02	-2.0000e-02	 4.2636e+00	 4.2136e+00
23	-1.5400e-02	-2.0000e-02	 4.3497e+00	 3.0459e+00
24	-1.5200e-02	-2.0000e-02	 4.2255e+00	 3.0843e+00
25	-1.5000e-02	-2.0000e-02	 4.3961e+00	 3.8405e+00
26	-1.4800e-02	-2.0000e-02	 4.2761e+00	 3.0138e+00
27	-1.4600e-02	-2.0000e-02	 4.3625e+00	 3.3521e+00
28	-1.4400e-02	-2.0000e-02	 4.3188e+00	 3.3412e+00
29	-1.4200e-02	-2.0000e-02	 4.3717e+00	 3.4819e+00
30	-1.4000e-02	-2.0000e-02	 4.3405e+00	 2.7900e+00
31	-1.3800e-02	-2.0000e-02	 4.3500e+00	 2.9862e+00
32	-1.3600e-02	-2.0000e-02	 4.4664e+00	 3.6380e+00
33	-1.3400e-02	-2.0000e-02	 4.2784e+00	 3.0046e+00
34	-1.3200e-02	-2.0000e-02	 4.4776e+00	 3.3369e+00
35	-1.3000e-02	-2.0000e-02	 4.3132e+00	 3.5200e+00
36	-1.2800e-02	-2.0000e-02	 4.2526e+00	 3.3192e+00
37	-1.2600e-02	-2.0000e-02	 4.3027e+00	 2.7712e+00
38	-1.2400e-02	-2.0000e-02	 4.3546e+00	 2.8833e+00
39	-1.2200e-02	-2.0000e-02	 4.4283e+00	 3.2839e+00
40	-1.2000e-02	-2.0000e-02	 4.4125e+00	 3.0523e+00
41	-1.1800e-02	-2.0000e-02	 4.3461e+00	 3.9620e+00
42	-1.1600e-02	-2.0000e-02	 4.3517e+00	 2.5727e+00
43	-1.1400e-02	-2.0000e-02	 4.4595e+00	 3.2137e+00
44	-1.1200e-02	-2.0000e-02	 4.3016e+00	 2.6881e+00
45	-1.1000e-02	-2.0000e-02	 4.3546e+00	 2.2943e+00
46	-1.0800e-02	-2.0000e-02	 4.4247e+00	 2.6667e+00
47	-1.0600e-02	-2.0000e-02	 4.3415e+00	 2.3023e+00
48	-1.0400e-02	-2.0000e-02	 4.3487e+00	 2.7384e+00
49	-1.0200e-02	-2.0000e-02	 4.2629e+00	 2.3242e+00
50	-1.0000e-02	-2.0000e-02	 4.5308e+00	 2.1891e+00
51	-9.8000e-03	-2.0000e-02	 4.5065e+00	 2.9241e+00
52	-9.6000e-03	-2.0000e-02	 4.3911e+00	 2.7176e+00
53	-9.4000e-03	-2.0000e-02	 4.3086e+00	 3.0161e+00
54	-9.2000e-03	-2.0000e-02	 4.2623e+00	 2.8195e+00
55	-9.0000e-03	-2.0000e-02	 4.4090e+00	 2.5733e+00
56	-8.8000e-03	-2.0000e-02	 4.4904e+00	 2.4302e+00
57	-8.6000e-03	-2.0000e-02	 4.4151e+00	 2.4839e+00
58	-8.4000e-03	-2.0000e-02	 4.3080e+00	 2.3958e+00
59	-8.2000e-03	-2.0000e-02	 4.3951e+00	 3.1336e+00
60	-8.0000e-03	-2.0000e-02	 4.3911e+00	 3.2354e+00
61	-7.8000e-03	-2.0000e-02	 4.4289e+00	 2.8153e+00
62	-7.6000e-03	-2.0000e-02	 4.3435e+00	 3.7899e+00
63	-7.4000e-03	-2.0000e-02	 4.4942e+00	 2.7476e+00
64	-7.2000e-03	-2.0000e-02	 4.4099e+00	 3.0528e+00
65	-7.0000e-03	-2.0000e-02	 4.3402e+00	 3.8810e+00
66	-6.8000e-03	-2.0000e-02	 4.4493e+00	 2.9694e+00
67	-6.6000e-03	-2.0000e-02	 4.2896e+00	 3.6905e+00
68	-6.4000e-03	-2.0000e-02	 4.2797e+00	 3.3805e+00
69	-6.2000e-03	-2.0000e-02	 4.3333e+00	 2.8080e+00
70	-6.0000e-03	-2.0000e-02	 4.3839e+00	 3.6647e+00
71	-5.8000e-03	-2.0000e-02	 4.4491e+00	 3.1045e+00
72	-5.6000e-03	-2.0000e-02	 4.2876e+00	 4.1582e+00
73	-5.4000e-03	-2.0000e-02	 4.3865e+00	 4.0461e+00
74	-5.2000e-03	-2.0000e-02	 4.3776e+00	 3.6048e+00
75	-5.0000e-03	-2.0000e-02	 4.3602e+00	 4.3823e+00
76	-4.8000e-03	-2.0000e-02	 4.3313e+00	 4.7813e+00
